Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409C,30,30.75,15,0.681,3.9029,29.894,0.06,2921000,2920000
409C,30,30.75,15,1,7.6115,42.818,0.06,2921000,2920000
409C,30,30.75,15,1.47,14.769,60.372,0.06,2921000,2920000
409C,30,30.75,15,2.15,27.681,82.686,0.06,2921000,2920000
409C,30,30.75,15,3.16,49.115,108.31,0.06,2921000,2920000
409C,30,30.75,15,4.64,80.673,134.42,0.06,2921000,2920000
409C,30,30.75,15,6.81,121.99,157.06,0.06,2921000,2920000
409C,30,30.75,15,10,170.12,173.16,0.06,2921000,2920000
409C,30,30.75,15,14.7,221.34,182.06,0.06,2921000,2920000
409C,30,30.75,15,21.5,272.08,184.97,0.06,2921000,2920000
409C,30,30.75,15,31.6,318.16,180.41,0.06,2921000,2920000
409C,30,30.75,15,46.4,358.06,173.97,0.06,2921000,2920000
409C,30,30.75,15,68.1,387.26,164.29,0.06,2921000,2920000
409C,30,30.75,15,100,392.74,151.79,0.06,2921000,2920000
409C,30,30.75,20,0.01,0.075252,0.66597,0.06,2921000,2920000
409C,30,30.75,20,0.0147,0.18536,0.7184,0.06,2921000,2920000
409C,30,30.75,20,0.0215,0.05918,1.1488,0.06,2921000,2920000
409C,30,30.75,20,0.0316,0.0784,1.6752,0.06,2921000,2920000
409C,30,30.75,20,0.0464,0.12294,2.439,0.06,2921000,2920000
409C,30,30.75,20,0.0681,0.16234,3.5679,0.06,2921000,2920000
409C,30,30.75,20,0.1,0.24299,5.1823,0.06,2921000,2920000
409C,30,30.75,20,0.147,0.4055,7.5399,0.06,2921000,2920000
409C,30,30.75,20,0.215,0.70615,10.947,0.06,2921000,2920000
409C,30,30.75,20,0.316,1.2849,15.997,0.06,2921000,2920000
409C,30,30.75,20,0.464,2.4424,23.258,0.06,2921000,2920000
409C,30,30.75,20,0.681,4.7347,33.507,0.06,2921000,2920000
409C,30,30.75,20,1,9.2765,47.76,0.06,2921000,2920000
409C,30,30.75,20,1.47,17.84,66.801,0.06,2921000,2920000
409C,30,30.75,20,2.15,33.079,90.304,0.06,2921000,2920000
409C,30,30.75,20,3.16,57.371,116.67,0.06,2921000,2920000
409C,30,30.75,20,4.64,91.944,142.24,0.06,2921000,2920000
409C,30,30.75,20,6.81,135.67,163.4,0.06,2921000,2920000
409C,30,30.75,20,10,185.16,177.72,0.06,2921000,2920000
409C,30,30.75,20,14.7,236.52,184.86,0.06,2921000,2920000
409C,30,30.75,20,21.5,286.03,186.3,0.06,2921000,2920000
409C,30,30.75,20,31.6,328.76,180.56,0.06,2921000,2920000
409C,30,30.75,20,46.4,362.78,173.17,0.06,2921000,2920000
409C,30,30.75,20,68.1,378.13,163.2,0.06,2921000,2920000
409C,30,30.75,20,100,357,150.32,0.06,2921000,2920000
409C,30,30.75,25,0.01,0.036444,0.5852,0.06,2921000,2920000
409C,30,30.75,25,0.0147,0.0056643,0.88889,0.06,2921000,2920000
409C,30,30.75,25,0.0215,0.078102,1.233,0.06,2921000,2920000
409C,30,30.75,25,0.0316,0.074476,1.8195,0.06,2921000,2920000
409C,30,30.75,25,0.0464,0.11092,2.6136,0.06,2921000,2920000
409C,30,30.75,25,0.0681,0.17549,3.8075,0.06,2921000,2920000
409C,30,30.75,25,0.1,0.28974,5.5443,0.06,2921000,2920000
409C,30,30.75,25,0.147,0.42104,8.0264,0.06,2921000,2920000
409C,30,30.75,25,0.215,0.75511,11.714,0.06,2921000,2920000
409C,30,30.75,25,0.316,1.4377,16.972,0.06,2921000,2920000
409C,30,30.75,25,0.464,2.7212,24.586,0.06,2921000,2920000
409C,30,30.75,25,0.681,5.2865,35.417,0.06,2921000,2920000
409C,30,30.75,25,1,10.328,50.293,0.06,2921000,2920000
409C,30,30.75,25,1.47,19.686,69.962,0.06,2921000,2920000
409C,30,30.75,25,2.15,36.077,94.087,0.06,2921000,2920000
409C,30,30.75,25,3.16,61.738,120.64,0.06,2921000,2920000
409C,30,30.75,25,4.64,97.69,145.8,0.06,2921000,2920000
409C,30,30.75,25,6.81,142.55,166.3,0.06,2921000,2920000
409C,30,30.75,25,10,192.73,179.86,0.06,2921000,2920000
409C,30,30.75,25,14.7,244.55,186.23,0.06,2921000,2920000
409C,30,30.75,25,21.5,294.8,186.69,0.06,2921000,2920000
409C,30,30.75,25,31.6,338.05,181.49,0.06,2921000,2920000
409C,30,30.75,25,46.4,372.57,173.39,0.06,2921000,2920000
409C,30,30.75,25,68.1,390.45,163.04,0.06,2921000,2920000
409C,30,30.75,25,100,374.89,148.47,0.06,2921000,2920000
409C,30,30.75,30,0.01,0.050783,0.60115,0.06,2921000,2920000
409C,30,30.75,30,0.0147,0.040814,0.86453,0.06,2921000,2920000
409C,30,30.75,30,0.0215,0.072667,1.2229,0.06,2921000,2920000
