Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,tan_delta,flag_suspicious,sample_weight
407B,100,23.39,35,31.6,144.56,59.317,0.4103278915329275,False,1.0
407B,100,23.39,35,46.4,157.34,61.142,0.3885979407652218,False,1.0
407B,100,23.39,35,68.1,168.17,62.462,0.3714217755842303,False,1.0
407B,100,23.39,35,100.0,172.99,59.722,0.34523382854500256,False,1.0
407C,100,29.16,15,0.01,81.074,69.215,0.853726225423687,False,1.0
407C,100,29.16,15,0.0147,124.4,62.701,0.5040273311897105,False,1.0
407C,100,29.16,15,0.0215,146.06,59.39,0.4066137203888813,False,1.0
407C,100,29.16,15,0.0316,162.11,58.491,0.3608105607303682,False,1.0
407C,100,29.16,15,0.0464,177.2,58.062,0.32766365688487586,False,1.0
407C,100,29.16,15,0.0681,191.05,58.375,0.30554828578906046,False,1.0
407C,100,29.16,15,0.1,205.07,59.464,0.2899692787828546,False,1.0
407C,100,29.16,15,0.147,219.26,61.1,0.2786645991060841,False,1.0
407C,100,29.16,15,0.215,233.76,63.242,0.27054243668720057,False,1.0
407C,100,29.16,15,0.316,248.78,65.902,0.264900715491599,False,1.0
407C,100,29.16,15,0.464,264.63,68.973,0.26063938328987646,False,1.0
407C,100,29.16,15,0.681,281.62,72.417,0.25714437895035863,False,1.0
407C,100,29.16,15,1.0,299.35,76.082,0.25415734090529474,False,1.0
407C,100,29.16,15,1.47,318.12,79.936,0.2512762479567459,False,1.0
407C,100,29.16,15,2.15,338.04,83.795,0.24788486569636728,False,1.0
407C,100,29.16,15,3.16,359.0,87.512,0.24376601671309192,False,1.0
407C,100,29.16,15,4.64,381.04,91.104,0.23909300860802013,False,1.0
407C,100,29.16,15,6.81,403.99,94.326,0.23348597737567758,False,1.0
407C,100,29.16,15,10.0,427.7,97.268,0.22742108954874912,False,1.0
407C,100,29.16,15,14.7,452.09,100.06,0.22132761175872062,False,1.0
407C,100,29.16,15,21.5,476.86,103.09,0.2161850438283773,False,1.0
407C,100,29.16,15,31.6,500.4,103.2,0.2062350119904077,False,1.0
407C,100,29.16,15,46.4,523.42,103.86,0.19842573841274694,False,1.0
407C,100,29.16,15,68.1,544.12,103.47,0.19016025876644857,False,1.0
407C,100,29.16,15,100.0,551.96,98.588,0.17861439234727153,False,1.0
407C,100,29.16,20,0.01,168.11,65.052,0.38696091844625546,False,1.0
407C,100,29.16,20,0.0147,185.8,59.28,0.3190527448869752,False,1.0
407C,100,29.16,20,0.0215,200.75,59.633,0.2970510585305106,False,1.0
407C,100,29.16,20,0.0316,214.33,60.14,0.2805953436289833,False,1.0
407C,100,29.16,20,0.0464,228.46,61.098,0.26743412413551604,False,1.0
407C,100,29.16,20,0.0681,242.35,62.119,0.25631937280792244,False,1.0
407C,100,29.16,20,0.1,257.05,63.973,0.24887375996887764,False,1.0
407C,100,29.16,20,0.147,272.04,65.837,0.24201220408763416,False,1.0
407C,100,29.16,20,0.215,287.46,68.205,0.23726779378000418,False,1.0
407C,100,29.16,20,0.316,303.57,71.017,0.2339394538327239,False,1.0
407C,100,29.16,20,0.464,320.53,74.092,0.2311546501107541,False,1.0
407C,100,29.16,20,0.681,338.47,77.42,0.2287351907111413,False,1.0
407C,100,29.16,20,1.0,357.39,80.948,0.22649766361677717,False,1.0
407C,100,29.16,20,1.47,377.35,84.496,0.22391943818735918,False,1.0
407C,100,29.16,20,2.15,398.47,88.039,0.22094260546590708,False,1.0
407C,100,29.16,20,3.16,420.51,91.332,0.21719340800456588,False,1.0
407C,100,29.16,20,4.64,443.65,94.416,0.2128164093316804,False,1.0
407C,100,29.16,20,6.81,467.54,97.196,0.207888095136245,False,1.0
407C,100,29.16,20,10.0,492.07,99.594,0.20239803280021135,False,1.0
407C,100,29.16,20,14.7,516.83,101.78,0.19693129268811793,False,1.0
407C,100,29.16,20,21.5,541.7,104.21,0.19237585379361266,False,1.0
407C,100,29.16,20,31.6,564.79,103.69,0.18359036101913986,False,1.0
407C,100,29.16,20,46.4,586.53,103.9,0.17714353911990863,False,1.0
407C,100,29.16,20,68.1,603.28,102.31,0.16958957697918048,False,1.0
407C,100,29.16,20,100.0,606.28,95.439,0.15741736491390115,False,1.0
407C,100,29.16,25,0.01,209.97,68.558,0.32651331142544177,False,1.0
407C,100,29.16,25,0.0147,225.56,64.787,0.28722734527398475,False,1.0
407C,100,29.16,25,0.0215,240.82,65.502,0.2719956814218088,False,1.0
407C,100,29.16,25,0.0316,254.99,66.435,0.260539629005059,False,1.0
407C,100,29.16,25,0.0464,270.26,67.581,0.25005920224968553,False,1.0
407C,100,29.16,25,0.0681,285.46,68.468,0.23985146780634767,False,1.0
407C,100,29.16,25,0.1,301.21,70.018,0.23245576176089774,False,1.0
407C,100,29.16,25,0.147,317.6,72.371,0.22786838790931987,False,1.0
407C,100,29.16,25,0.215,334.63,74.495,0.22261901204315215,False,1.0
407C,100,29.16,25,0.316,352.22,77.086,0.21885753222417806,False,1.0
407C,100,29.16,25,0.464,370.67,79.968,0.21573906709472038,False,1.0
407C,100,29.16,25,0.681,390.0,82.993,0.2128025641025641,False,1.0
407C,100,29.16,25,1.0,410.33,86.151,0.20995540174981112,False,1.0
407C,100,29.16,25,1.47,431.55,89.309,0.20694936855520796,False,1.0
407C,100,29.16,25,2.15,453.71,92.292,0.20341627912102445,False,1.0
